Source,Target,Line Name,Flows
Leyton Midland Road,Leytonstone High Road,London Overground,3869
Leytonstone High Road,Wanstead Park,London Overground,3426
Wanstead Park,Woodgrange Park,London Overground,2833
Woodgrange Park,Barking,London Overground,2384
Barking,East Ham,District,14462
Barking,East Ham,Hammersmith & City,0
Barking,Upney,District,13108
Brockley,Honor Oak Park,London Overground,3360
Honor Oak Park,Forest Hill,London Overground,3340
Penge West,Anerley,London Overground,2330
Anerley,Norwood Junction,London Overground,1907
Norwood Junction,West Croydon,London Overground,1332
Dalston Junction,Haggerston,London Overground,4559
Haggerston,Hoxton,London Overground,4579
Kensington,Earl's Court,District,1660
Vauxhall,Pimlico,Victoria,44099
Pimlico,Victoria,Victoria,46273
Victoria,Sloane Square,Circle,33905
Victoria,Sloane Square,District,0
Victoria,St. James's Park,Circle,24680
Victoria,St. James's Park,District,0
Finsbury Park,Arsenal,Piccadilly,45016
Finsbury Park,Manor House,Piccadilly,29933
South Kensington,Sloane Square,Circle,30250
South Kensington,Sloane Square,District,0
South Kensington,Gloucester Road,Circle,32168
South Kensington,Gloucester Road,District,19227
South Kensington,Gloucester Road,Piccadilly,25823
South Kensington,Knightsbridge,Piccadilly,10428
Gloucester Road,High Street Kensington,Circle,9933
Gloucester Road,Earl's Court,District,19227
Gloucester Road,Earl's Court,Piccadilly,5197
High Street Kensington,Earl's Court,District,8400
Bayswater,Paddington,Circle,13172
Bayswater,Paddington,District,0
Paddington,Edgware Road,Circle,36351
Paddington,Edgware Road,District,0
Paddington,Edgware Road,Bakerloo,3886
Paddington,Edgware Road,Hammersmith & City,0
Paddington,Royal Oak,Circle,15765
Paddington,Royal Oak,Hammersmith & City,0
Paddington,Warwick Avenue,Bakerloo,11415
Edgware Road,Marylebone,Bakerloo,8500
Temple,Blackfriars,Circle,35600
Temple,Blackfriars,District,0
Blackfriars,Mansion House,Circle,36528
Blackfriars,Mansion House,District,0
Mansion House,Cannon Street,Circle,38159
Mansion House,Cannon Street,District,0
Tower Hill,Aldgate,Circle,12744
Tower Hill,Aldgate East,District,28671
Great Portland Street,Euston Square,Circle,36018
Great Portland Street,Euston Square,Metropolitan,0
Great Portland Street,Euston Square,Hammersmith & City,0
Farringdon,Barbican,Circle,30581
Farringdon,Barbican,Metropolitan,0
Farringdon,Barbican,Hammersmith & City,0
Hammersmith,Goldhawk Road,Circle,12995
Hammersmith,Goldhawk Road,Hammersmith & City,0
Hammersmith,Barons Court,District,12693
Hammersmith,Barons Court,Piccadilly,8769
Hammersmith,Ravenscourt Park,District,12773
Hammersmith,Turnham Green,Piccadilly,8769
Goldhawk Road,Shepherd's Bush Market,Circle,13178
Goldhawk Road,Shepherd's Bush Market,Hammersmith & City,0
Shepherd's Bush Market,Wood Lane,Circle,13226
Shepherd's Bush Market,Wood Lane,Hammersmith & City,0
Wood Lane,Latimer Road,Circle,14012
Wood Lane,Latimer Road,Hammersmith & City,0
Latimer Road,Ladbroke Grove,Circle,14472
Latimer Road,Ladbroke Grove,Hammersmith & City,0
Ladbroke Grove,Westbourne Park,Circle,15279
Ladbroke Grove,Westbourne Park,Hammersmith & City,0
Westbourne Park,Royal Oak,Circle,15518
Westbourne Park,Royal Oak,Hammersmith & City,0
Uxbridge,Hillingdon,Metropolitan,2764
Uxbridge,Hillingdon,Piccadilly,0
Hillingdon,Ickenham,Metropolitan,3960
Hillingdon,Ickenham,Piccadilly,0
Ickenham,Ruislip,Metropolitan,4453
Ickenham,Ruislip,Piccadilly,0
Ruislip,Ruislip Manor,Metropolitan,5335
Ruislip,Ruislip Manor,Piccadilly,0
Ruislip Manor,Eastcote,Metropolitan,6229
Ruislip Manor,Eastcote,Piccadilly,0
Eastcote,Rayners Lane,Metropolitan,8268
Eastcote,Rayners Lane,Piccadilly,3578
Rayners Lane,West Harrow,Metropolitan,3390
Rayners Lane,South Harrow,Piccadilly,3578
West Harrow,Harrow-on-the-Hill,Metropolitan,3234
Harrow-on-the-Hill,North Harrow,Metropolitan,12769
Harrow-on-the-Hill,Northwick Park,Metropolitan,5757
Amersham,Chalfont & Latimer,Metropolitan,1190
Chalfont & Latimer,Chorleywood,Metropolitan,2664
Chalfont & Latimer,Chesham,Metropolitan,932
Chorleywood,Rickmansworth,Metropolitan,3397
Rickmansworth,Moor Park,Metropolitan,4259
Moor Park,Northwood,Metropolitan,6683
Moor Park,Croxley,Metropolitan,2274
Northwood,Northwood Hills,Metropolitan,8195
Northwood Hills,Pinner,Metropolitan,9158
Pinner,North Harrow,Metropolitan,11322
Northwick Park,Preston Road,Metropolitan,6618
Croxley,Watford,Metropolitan,1400
Earl's Court,West Kensington,District,17627
Earl's Court,Barons Court,Piccadilly,5197
West Kensington,Barons Court,District,8608
Ravenscourt Park,Stamford Brook,District,5241
Stamford Brook,Turnham Green,District,5136
Turnham Green,Chiswick Park,District,6661
Turnham Green,Acton Town,Piccadilly,6325
